"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-01",,,"8.8","H,,S","16.0",",,S","-1.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-02",,,"11.1","H,,S","17.4",",,S","3.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-03",,,"11.6","H,,S","18.3",",,S","6.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-04",,,"9.3","H,,S","19.0",",,S","0.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-05",,,"10.4","H,,S","19.0",",,S","7.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-06",,,"8.1","H,,S","16.0",",,S","2.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-07",,,"5.3","H,,S","16.0",",,S","0.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-08",,,"6.3","H,,S","17.3",",,S","-2.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-09",,,"11.6","H,,S","17.5",",,S","1.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-10",,,"9.7","H,,S","17.5",",,S","5.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-11",,,"5.9","H,,S","11.1",",,S","-0.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-12",,,"6.6","H,,S","14.2",",,S","-1.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-13",,,"5.5","H,,S","16.7",",,S","-3.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-14",,,"6.9","H,,S","16.7",",,S","-1.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-15",,,"8.7","H,,S","18.1",",,S","1.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-16",,,"8.5","H,,S","19.8",",,S","-0.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-17",,,"9.4","H,,S","19.8",",,S","1.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-18",,,"9.9","H,,S","18.7",",,S","0.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-19",,,"11.0","H,,S","17.8",",,S","3.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-20",,,"11.4","H,,S","18.0",",,S","5.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-21",,,"7.1","H,,S","18.0",",,S","0.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-22",,,"8.3","H,,S","19.1",",,S","-1.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-23",,,"8.3","H,,S","19.1",",,S","3.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-24",,,"4.6","H,,S","17.2",",,S","-0.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-25",,,"6.6","H,,S","17.2",",,S","-0.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-26",,,"9.2","H,,S","17.7",",,S","-2.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-27",,,"10.9","H,,S","17.7",",,S","5.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-28",,,"14.8","H,,S","18.3",",,S","10.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-29",,,"9.7","H,,S","16.7",",,S","0.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-30",,,"5.8","H,,S","16.7",",,S","-2.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-07-31",,,"4.0","H,,S","12.9",",,S","-0.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-01",,,"6.0","H,,S","15.3",",,S","-2.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-02",,,"10.8","H,,S","16.5",",,S","5.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-03",,,"11.6","H,,S","16.5",",,S","5.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-04",,,"11.8","H,,S","15.7",",,S","7.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-05",,,"13.4","H,,S","17.4",",,S","3.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-06",,,"13.3","H,,S","18.6",",,S","4.0",",,S"
