,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,component 1,component 2,component 3,K-means PCA,Segment
3216,SF004322370,"VRYBURG, SF",-26.95,24.633,1234.0,2022-09-26,0.0,23.2,33.2,11.5,-8.823821116260198,-2.5386948302152237,1.047221483210325,0,Solar
9542,SF000227590,"WORCESTER, SF",-33.617,19.467,270.0,2023-01-15,0.0,21.9,31.3,19.6,-10.55242337080125,1.5684652107265282,-3.1342789510121456,0,Solar
3797,SF000414170,"MALMESBURY, SF",-33.467,18.717,102.0,2022-12-30,0.0,23.3,33.0,9.6,-7.826630338486298,-3.321643067408271,1.7850428885548515,0,Solar
8764,SF001344780,"CALVINIA, SF",-31.467,19.767,975.0,2023-02-08,0.0,24.6,31.4,18.5,-11.214379870810326,1.556217902550703,-3.7114408379040995,0,Solar
2682,SFM00068538,"DEAAR UA, SF",-30.667,24.017,1287.0,2022-10-25,0.0,22.3,30.0,15.0,-7.559248853068941,-0.017890946643198426,-1.8308418465238383,0,Solar
5512,SF002760720,"VIOOLSDRIF, SF",-28.7,17.6,168.0,2022-10-28,0.0,27.0,38.3,16.7,-16.788926569856258,-1.156219634779345,-0.3673023545096087,0,Solar
9332,SF004371040,"POTCHEFSTROOM, SF",-26.733,27.067,1351.0,2023-03-20,0.0,23.1,33.8,14.7,-10.738351758520528,-1.2965372368963672,-0.0900049068535356,0,Solar
1216,SFM00068591,"MARGATE, SF",-30.85,30.333,154.0,2022-07-05,0.0,17.5,23.7,16.5,-1.347267287148361,1.884749029609592,-3.7172383421596233,0,Solar
5796,SFM00068588,"DURBAN INTERNATIONAL, SF",-29.97,30.951,10.1,2022-10-28,0.0,20.3,29.2,17.0,-7.045867364652344,0.782075226233825,-2.3239373032916504,0,Solar
5831,SFM00068588,"DURBAN INTERNATIONAL, SF",-29.97,30.951,10.1,2022-12-02,0.0,24.4,31.1,20.4,-11.777113697882914,2.490345178302556,-4.6622144994793775,0,Solar
9243,SF004371040,"POTCHEFSTROOM, SF",-26.733,27.067,1351.0,2022-11-22,0.0,17.8,29.4,13.6,-4.6168775992300395,-1.33127848513794,0.4110192925812734,0,Solar
8706,SF001344780,"CALVINIA, SF",-31.467,19.767,975.0,2022-12-12,8.9,22.1,30.5,16.6,-8.366161602308019,7.60091632045574,3.0025220113392375,0,Solar
598,SFM00068263,"PRETORIA IRENE, SF",-25.917,28.217,1500.0,2022-11-05,5.1,24.0,27.9,13.1,-5.5707341923105655,4.225148292003316,0.26338327529904054,0,Solar
7280,SFM00068242,"MAFIKENG, SF",-25.798,25.548,1274.4,2023-04-02,0.0,20.2,27.9,14.7,-4.915688312479003,0.1523132922097562,-1.8773512493997833,0,Solar
11287,SF001130250,"FRASERBURG, SF",-31.917,21.517,1268.0,2022-11-08,0.0,20.6,28.4,11.4,-3.9430191678395397,-1.4526798142363733,-0.258949743188504,0,Solar
7259,SFM00068242,"MAFIKENG, SF",-25.798,25.548,1274.4,2023-03-12,0.0,23.3,31.7,16.0,-9.76669175289357,0.0549298051173532,-1.8494288452171175,0,Solar
3106,SF002146700,"SPRINGBOK, SF",-29.667,17.9,1007.0,2023-03-15,0.0,26.8,34.9,17.9,-14.584702306560308,0.5152144956455876,-2.57492673813637,0,Solar
6742,SF003044460,"MTUNZINI, SF",-28.95,31.7,38.0,2022-09-14,0.0,22.0,27.2,15.7,-5.555744492856258,1.2001419878528123,-3.458008821983284,0,Solar
